spectrum_id,mz,intensity
spec_000,100.0,200.0
spec_000,118.0,80.0
spec_000,136.0,150.0
spec_000,154.0,60.0
spec_001,90.0,120.0
spec_001,108.5,75.0
spec_001,126.2,40.0
spec_001,144.7,180.0
spec_001,163.0,95.0
spec_002,110.0,60.0
spec_002,128.1,210.0
spec_002,146.2,130.0
spec_002,164.3,55.0
spec_003,95.0,40.0
spec_003,113.4,100.0
spec_003,131.8,160.0
spec_003,150.1,90.0
spec_003,168.4,30.0
spec_004,102.0,140.0
spec_004,120.0,70.0
spec_004,138.0,190.0
spec_004,156.0,85.0
spec_005,88.0,55.0
spec_005,106.0,145.0
spec_005,124.0,115.0
spec_005,142.0,65.0
