variant,seed,pair_update_heads,pair_update_layers,pair_update_clamp_min,pair_update_clamp_max,dropout,exit_code,status,best_valid_auc,best_test_auc,best_epoch,log_path
V1-bondpair,9,1,1,-3.0,3.0,0.0,0,ok,0.7809027777777778,0.5051975051975052,0,C:\Users\zhoutianyang\Desktop\SpecMol-Zip\SpecMol-Zip\results\bondpair_stability\h1_l1_cm3p0_3p0_d0p0_s9\run.log
V1-bondpair,19,1,1,-3.0,3.0,0.0,0,ok,0.7437500000000001,0.5107415107415108,0,C:\Users\zhoutianyang\Desktop\SpecMol-Zip\SpecMol-Zip\results\bondpair_stability\h1_l1_cm3p0_3p0_d0p0_s19\run.log
V1-bondpair,29,1,1,-3.0,3.0,0.0,0,ok,0.7175347222222221,0.4681219681219681,0,C:\Users\zhoutianyang\Desktop\SpecMol-Zip\SpecMol-Zip\results\bondpair_stability\h1_l1_cm3p0_3p0_d0p0_s29\run.log
V1-bondpair,9,1,1,-3.0,3.0,0.1,0,ok,0.7664930555555556,0.5414067914067914,0,C:\Users\zhoutianyang\Desktop\SpecMol-Zip\SpecMol-Zip\results\bondpair_stability\h1_l1_cm3p0_3p0_d0p1_s9\run.log
V1-bondpair,19,1,1,-3.0,3.0,0.1,0,ok,0.7409722222222221,0.47245322245322247,0,C:\Users\zhoutianyang\Desktop\SpecMol-Zip\SpecMol-Zip\results\bondpair_stability\h1_l1_cm3p0_3p0_d0p1_s19\run.log
V1-bondpair,29,1,1,-3.0,3.0,0.1,0,ok,0.7138888888888888,0.567047817047817,0,C:\Users\zhoutianyang\Desktop\SpecMol-Zip\SpecMol-Zip\results\bondpair_stability\h1_l1_cm3p0_3p0_d0p1_s29\run.log
V1-bondpair,9,1,1,-5.0,5.0,0.0,0,ok,0.7809027777777778,0.5051975051975052,0,C:\Users\zhoutianyang\Desktop\SpecMol-Zip\SpecMol-Zip\results\bondpair_stability\h1_l1_cm5p0_5p0_d0p0_s9\run.log
V1-bondpair,19,1,1,-5.0,5.0,0.0,0,ok,0.7437500000000001,0.5107415107415108,0,C:\Users\zhoutianyang\Desktop\SpecMol-Zip\SpecMol-Zip\results\bondpair_stability\h1_l1_cm5p0_5p0_d0p0_s19\run.log
V1-bondpair,29,1,1,-5.0,5.0,0.0,0,ok,0.7175347222222221,0.4681219681219681,0,C:\Users\zhoutianyang\Desktop\SpecMol-Zip\SpecMol-Zip\results\bondpair_stability\h1_l1_cm5p0_5p0_d0p0_s29\run.log
V1-bondpair,9,1,1,-5.0,5.0,0.1,0,ok,0.7664930555555556,0.5414067914067914,0,C:\Users\zhoutianyang\Desktop\SpecMol-Zip\SpecMol-Zip\results\bondpair_stability\h1_l1_cm5p0_5p0_d0p1_s9\run.log
